Date,prcsi_quant_raw,prcsi_quant,regime_quant,comp_fundamentals,oil_price,oil_logret
2007-02-14,47.22844634408769,57.16906208915168,GREED,0.47228446344087693,58.0,-0.01811088902182932
2007-02-15,47.22844634408769,57.1931925314283,GREED,0.47228446344087693,57.9900016784668,-0.00017239971399744193
2007-02-16,15.174600985758271,45.567145444046496,NEUTRAL,0.15174600985758271,59.38999938964844,0.023855240918337923
2007-02-19,26.195780236021292,38.34957005604717,FEAR,0.26195780236021293,59.38999938964844,0.0
2007-02-20,32.558861042962604,33.677226990583506,FEAR,0.32558861042962606,58.06999969482422,-0.02247667762211012
2007-02-21,41.25099107156478,32.48173593607893,FEAR,0.4125099107156478,60.06999969482422,0.03386136965308429
2007-02-22,41.25099107156478,31.286244881574344,FEAR,0.4125099107156478,60.95000076293945,0.014543324663010835
2007-02-23,70.63669895520016,42.37866447546272,FEAR,0.7063669895520016,61.13999938964844,0.0031124380350916444
2007-02-26,59.615519704990994,49.06261236925666,NEUTRAL,0.5961551970499099,61.38999938964844,0.004080639017369919
2007-02-27,53.25243889806761,53.201327940277665,NEUTRAL,0.5325243889806761,61.459999084472656,0.0011395963088198936
2007-02-28,44.56030886950134,53.86319149986498,NEUTRAL,0.4456030886950134,61.790000915527344,0.0053550120836174915
2007-03-01,44.56030886950134,54.52505505945229,NEUTRAL,0.4456030886950134,62.0,0.0033928311554476467
2007-03-02,78.54458960999965,56.10663319041218,GREED,0.7854458960999965,61.63999938964844,-0.005823384495051386
2007-03-05,67.52341035971703,57.68821132135739,GREED,0.6752341035971703,60.06999969482422,-0.025800456768306054
2007-03-06,61.16032955276916,59.2697894522977,GREED,0.6116032955276917,60.689998626708984,0.01026837343806751
2007-03-07,52.468199524153924,60.85136758322822,GREED,0.5246819952415392,61.81999969482422,0.018448014547646826
2007-03-08,52.468199524153924,62.432945714158734,GREED,0.5246819952415392,61.63999938964844,-0.0029159312174082785
2007-03-09,18.863111448005768,50.49665008175997,NEUTRAL,0.18863111448005768,60.04999923706055,-0.026133464729117647
2007-03-12,29.884290698286765,42.96882614947391,FEAR,0.29884290698286764,58.90999984741211,-0.019166682877513115
2007-03-13,36.247371505234085,37.986234539966894,FEAR,0.36247371505234083,57.93000030517578,-0.016775462566867336
2007-03-14,44.939501533848244,36.480494941905754,FEAR,0.4493950153384824,58.15999984741211,0.003962440225133532
2007-03-15,44.939501533848244,34.97475534384462,FEAR,0.4493950153384824,57.54999923706055,-0.010543708690768512
2007-03-16,14.933296563060356,34.18879236685554,FEAR,0.14933296563060355,57.11000061035156,-0.007674878546838121
2007-03-19,25.95447581328923,33.40282938985603,FEAR,0.2595447581328923,56.59000015258789,-0.009146949513261064
2007-03-20,32.317556620219165,32.61686641285305,FEAR,0.3231755662021917,56.72999954223633,0.0024708694185038064
2007-03-21,41.00968664879857,31.830903435843112,FEAR,0.4100968664879857,59.61000061035156,0.04952019220160341
2007-03-22,41.00968664879857,31.044940458833178,FEAR,0.4100968664879857,61.689998626708984,0.03429846548947096
